100600292	2020-04-27T23:13:03.000Z	1254911466932764681	    Faucci says that the Travel Ban prevented countless deaths	{'place_id': 'cc480e2388809012'}
710279928244248580	2020-04-27T23:08:11.000Z	1254910242074308613	 is re-opening Texas. I figure it’s a fine time to take students and family trips to Austin to visit our Governor’s Mansion! I encourage everyone to take action in opposition of the irresponsible re-opening of Texas by scheduling your tour! See image for more info: 	{'place_id': '1c69a67ad480e1b1'}
17059862	2020-04-27T20:22:18.000Z	1254868496804122626	 Can you now travel from California to Texas without self quarantining after May0st, 0??	{'place_id': '1c69a67ad480e1b1'}
70231532	2020-04-27T19:54:08.000Z	1254861406999998466	"    At the same time Canada was inviting Chinese to travel to Canada and the Italians had a ""hug a Chinese"" campaign. How that worked out for them? Early Feb he also stopped air travel from Europe. The EU was still clinging to their open border policy."	{'place_id': 'cf3b45e29c2c319b'}
70231532	2020-04-27T19:48:23.000Z	1254859959533285386	    Trump stopped travel from China in January. Both China and the WHO claimed at that time that covid was transmitted from animals to humans, not human to human and there was nothing to worry about. It wasn't until March that the WHO declared a pandemic. He was called a racist.	{'place_id': 'cf3b45e29c2c319b'}
31482392	2020-04-27T19:26:06.000Z	1254854353707585538	" It's not a ""one size fits all"" model. There are restaurants I don't dine at because the food doesn't travel well. Who eats cold pancakes? In theory, I agree. In practice, I think exceptions should be made."	{'place_id': '1c69a67ad480e1b1'}
821156890369519616	2020-04-27T18:13:30.000Z	1254836082027479040	 Can I visit plz	{'place_id': '1c69a67ad480e1b1'}
22059707	2020-04-27T16:14:43.000Z	1254806189478641665	Pull up 🚗🚗🚗 For more information on curbside pick up visit online at  @ premiumgoods. 	{'coordinates': {'type': 'Point', 'coordinates': [-95.4155413, 29.7167949]}, 'place_id': '1c69a67ad480e1b1'}
135213232	2020-04-27T16:10:30.000Z	1254805127984267267	Mr. Freshman 0-0 is virtually learning about GDI and GII and HDI in Ms. Auguillard's W. Geography class 💙💙 Later, he will visit Nigeria 🇳🇬 with  💜💛       🙌🏾 	{'place_id': '1c69a67ad480e1b1'}
115105973	2020-04-27T15:52:51.000Z	1254800688971952128	The  Barnett Stadium testing site will be open from 0am-0pm and Houstonians can visit  for prescreening.	{'place_id': '1c69a67ad480e1b1'}
2167987970	2020-04-27T15:27:07.000Z	1254794212857577472	    From person we dey travel go Astana abeg abeg 😂😂	{'place_id': '1c69a67ad480e1b1'}
3229148840	2020-04-27T15:11:26.000Z	1254790264570314758	Stay six feet apart from others at all times in public. Wear your face coverings and if you don't have any, find a face mask drive near you. Visit   	{'place_id': '1c69a67ad480e1b1'}
438009068	2020-04-27T13:55:36.000Z	1254771179803471873	last night my parents called me at 0:0 pm to tell me they were coming to visit TODAY?????	{'place_id': '1c69a67ad480e1b1'}
234025711	2020-04-27T13:10:14.000Z	1254759763457593347	Harris County Department of Education (HCDE) Principal Academy is taking applications NOW.  For more information, email me at cledet and /or visit our website at  Schedule your virtual program orientation.	{'place_id': '1c69a67ad480e1b1'}
2793728046	2020-04-27T12:59:20.000Z	1254757020361723906	📢The Holler shop is open! Visit  to place an order for Friday delivery. 📢 The shop will close at 0 orders. Thank you! 🍻 	{'place_id': '1c69a67ad480e1b1'}
355222411	2020-04-27T10:45:53.000Z	1254723437509120000	Visit  to read today's post: The New Normal!  Spotify, TV Shows & New Books, Oh My!! @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
952032685018505216	2020-04-27T01:51:36.000Z	1254588981137887232	I get that we need to STAY HOME & I get that people are sick & suffering.There are also people that are struggling mentally/emotionally, & need compassion. I was one of those people. A friend came to visit today & it calmed me deeply.Both are valid.	{'place_id': '1c69a67ad480e1b1'}
3315233951	2020-04-27T00:48:07.000Z	1254573002638983168	 You should come visit your brother, the weather here in Mo City has been beautiful!	{'place_id': '004b5a825b5fa14b'}
990999004904378368	2020-04-27T00:18:28.000Z	1254565541228032000	Students, participation matters! Don’t miss out on the learning opportunities available! It’s not too late to start! Visit our website & DM us if you still need help! 	{'place_id': '1c69a67ad480e1b1'}
56522507	2020-04-28T22:39:55.000Z	1255265518241689605	I jus wanna grab my camera, travel the world and capture everything	{'place_id': '1c69a67ad480e1b1'}
867400472344367108	2020-04-28T22:31:43.000Z	1255263452521791488	Low key wanna go visit the homie Abe at his grave... can’t believe it’s been 0 years... wow	{'place_id': '1c69a67ad480e1b1'}
1114292168405995521	2020-04-28T21:39:34.000Z	1255250328301207558	Our Certified Arborists pride themselves on performing quality work that leaves our customers satisfied and preserves the beauty and functionality of the landscape. For a tree removal consultation, request a visit from our team of tree care experts, or contact Embark Services 	{'place_id': '1c69a67ad480e1b1'}
746887728	2020-04-28T20:44:58.000Z	1255236589652979712	People who think Project and PULSEFIRE are similar are the stupidest people, like...baby tech doesn’t mean project, that’s like saying the bullet angel line is project, they’re not cybernetics, they’re not good or evil they’re...time travels, time travel needs TECH	{'place_id': '1c69a67ad480e1b1'}
12991842	2020-04-28T20:26:11.000Z	1255231863318351874	 Not usually. They’ll go in the enclosed back yard when we travel to my in-laws but otherwise they’re indoor kitties. I think patrolling the building gives them some extra stimulation though.	{'place_id': '1c69a67ad480e1b1'}
72377159	2020-04-28T19:45:16.000Z	1255221562405457923	        Referee ain’t call it, so it’s not a travel. 🤷🏾‍♂️	{'place_id': '822f7a173519a8dd'}
231936838	2020-04-28T19:24:26.000Z	1255216322016837633	Travel like a MF 	{'place_id': '1c69a67ad480e1b1'}
