197194192	2020-11-16T22:28:29.000Z	1328464989431025664	Osos 🐻🐻🐻🐻              en Cloud Gate 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62331605, 41.88267808]}}
596501802	2020-11-16T22:21:57.000Z	1328463342730620930	 I am very concerned that people see visiting the site as a problem, actually. It’s not like going to lay flowers on hitler’s grave, it’s a ***genuine profesionally managed historic site*** with exhibits and everything. The visit doesnt make MC bad; everything else does. 	{'place_id': '1d9a5370a355ab0c'}
799605042	2020-11-16T22:17:22.000Z	1328462190752493569	   All you had to do was visit me in the ER	{'place_id': '1d9a5370a355ab0c'}
1081738599136141313	2020-11-16T22:12:27.000Z	1328460953625759745	I just love the shade being thrown, but seriously  I’m looking for a mid-size sedan to rent when I visit my gf in Pennsylvania. 	{'place_id': '55c1f288b7e98c40'}
24490183	2020-11-16T21:48:37.000Z	1328454953636147201	  Scottsbluff is such a lovely place. I hope to visit again some day when this is all over.	{'place_id': '1d9a5370a355ab0c'}
71337558	2020-11-16T20:32:36.000Z	1328435824426414082	The bird is the word! There’s still time to pre-order your Thanksgiving turkey dinner to go. Visit  for the full menu. 	{'place_id': '1d9a5370a355ab0c'}
364489291	2020-11-16T20:20:01.000Z	1328432656355356672	 maybe if you go visit the Texas bois they can capture you in your best sun kissed angles	{'place_id': '1d9a5370a355ab0c'}
905476846292279296	2020-11-16T18:41:52.000Z	1328407956623396866	Traveling around the world and learning about different landmarks. This stop was in France... the Eiffel Tower.. the Iron Lady. 🇫🇷 🌍 💡     	{'place_id': '92e012db736d72c5'}
371516125	2020-11-16T18:40:38.000Z	1328407647285080065	 She traveling	{'place_id': '1d9a5370a355ab0c'}
1309807713044566017	2020-11-16T18:08:10.000Z	1328399476462133248	 is ready to get to work and our first project is  🍑. Help us ensure those Senate seats in GA turn blue . Visit this link to sign-up to help:  	{'place_id': '1d9a5370a355ab0c'}
88601415	2020-11-16T17:50:34.000Z	1328395049273618432	Man I’m standing here looking at elderly women walk around and thinking how when I’d go and visit my granny I’d help her walk and make sure she got around safely. 😢😢😢😔😔😔	{'place_id': '0da8a6c990f02eed'}
756464	2020-11-16T17:18:46.000Z	1328387047258775554	Visit my mommy 	{'place_id': '1d9a5370a355ab0c'}
