2021-07-12T23:01:08.000Z	1414721517825445888	Really been bumming it lately every time I go out	{'place_id': 'a5c44787002590e5'}
2021-07-12T22:50:16.000Z	1414718781247705091	   didn’t end up going to work	{'place_id': '00c39537733fa112'}
2021-07-12T22:49:28.000Z	1414718579111518208	Literally same. And got myself off to school too😂🤣  	{'place_id': '011add077f4d2da3'}
2021-07-12T22:27:08.000Z	1414712959964692483	Trader Joe’s workers fight back against unlawful intimidation from management    look go to work and do your do you're job I mean you  make nice Money so your job and shut the fuck up or quit just quit just quit just quit like I said just qyut	{'place_id': '00c55f041e27dc51'}
2021-07-12T22:08:48.000Z	1414708347853496330	  Not really sure what makes him a fake fan as it’s where he went to school	{'place_id': 'bc905fa51092b4d9'}
2021-07-12T21:22:32.000Z	1414696703924613124	 As a 🇺🇸 & 🇮🇹 citizen we got your back, these kids were amazing to go out there and take those penalty shots. Walk w/ your heads held high you are the good in this sport and today we all support 🏴󠁧󠁢󠁥󠁮󠁧󠁿	{'place_id': '01a9a39529b27f36'}
2021-07-12T21:12:29.000Z	1414694173836550151	I wish I could have been a victorian-georgian era pageboy bro that must have been the ideal life... some kids your age go to school and learn and shit but you? You get to get paid a handful of small change to play telephone in a silly outfit for adults with business to attend to	{'place_id': '011add077f4d2da3'}
2021-07-12T21:07:22.000Z	1414692886533353474	 Very pragmatic reasoning, it can be bigger than in the past, but to compare to other sports where high draft picks play day 0 is just not going to work.	{'place_id': '01a9a39529b27f36'}
2021-07-12T19:22:02.000Z	1414666378230079488	i’m happy but not 0% because i just wish i could just design, sew, sell ts i wanted to the past yr without worrying about going to work	{'place_id': '011add077f4d2da3'}
2021-07-12T19:09:13.000Z	1414663151438733318	power going out on my first day of work anything else gunna go wrong today?	{'place_id': '3d3c56338b6a3b4a'}
2021-07-12T18:52:03.000Z	1414658834019278851	Don’t go out sad accepting other peoples ways . Specially when you never take the easy route out . I work hard so I can’t deal nor pursue anyone or anything half ass. Usually those people are always looking for the next best thing.	{'place_id': '01a9a39529b27f36'}
